maxArrSumNeg, m224, t50, w4, 5456, 145, 40990, 47156, 182.9911, 0.9358, 1910, 63, a2, 010111
minProd, m60, t50, w8, 1506, 24, 1677, 3247, 27.7956, 0.8659, 1946, 72, a2, 110111
insertSort, m216, t50, w4, 4642, 51, 24554, 29450, 113.6759, 0.9444, 1900, 40, a4, 111010
quickSort, m63, t50, w2, 3402, 165, 38557, 42293, 607.1969, 0.9603, 1900, 56, a3, 000111
mergeSort, m113, t50, w8, 3433, 21, 5278, 8771, 46.7124, 0.9336, 1900, 129, a2, 110010
huffmanCodingEff, m99, t50, w2, 7359, 166, 20256, 28059, 203.5779, 0.849, 1874, 239, a3, 011111
transpose, m49, t50, w4, 1252, 52, 6966, 8264, 140.2617, 0.8993, 903, 40, a2, 100011
selectSort, m46, t50, w2, 1520, 164, 19989, 21764, 434.5435, 0.9101, 1900, 45, a2, 100111
add, m6, t100, w4, 84, 97, 54, 215, 9.0833, 0.9167, 583, 13, a4, 101011
add, m4, t100, w2, 92, 316, 128, 345, 32.0833, 0.9167, 583, 13, a3, 100011
parg, m5018, t52, w2, 855984, 176, 17332, 874828, 3.454, 1.0, 418, 2518, a5, 110011
parg, m1254, t52, w4, 212750, 55, 1284, 214364, 1.0239, 1.0, 418, 2518, a3, 110010
huffmanCodingEff, m398, t50, w4, 19736, 146, 27476, 48774, 69.0352, 0.849, 1874, 239, a2, 010111
maxArrSumNeg, m37, t50, w8, 862, 19, 3373, 4299, 90.3661, 0.9358, 1910, 63, a3, 101111
factorial, m62, t100, w4, 1026, 99, 14082, 15410, 227.129, 0.9677, 403, 18, a3, 111010
insertSort, m54, t50, w2, 1823, 161, 12290, 14359, 227.6019, 0.92, 1900, 40, a5, 101111
anagram, m20, t100, w8, 332, 45, 1667, 2049, 83.3833, 0.9286, 1370, 37, a2, 101111
genPassword, m24, t100, w8, 474, 39, 446, 974, 18.2041, 0.8367, 398, 63, a4, 111011
huffmanCoding, m157, t50, w8, 9306, 21, 7676, 17256, 48.8949, 0.9279, 1874, 318, a2, 110111
squareMatrix, m364, t50, w8, 9184, 20, 20894, 30282, 57.4011, 1.0, 903, 72, a3, 110010
mergeSort, m113, t50, w4, 3296, 148, 11419, 14834, 101.0531, 0.9336, 1900, 129, a2, 000010
genPassword, m24, t100, w2, 733, 316, 2647, 3571, 108.0408, 0.8367, 398, 63, a5, 011010
quickSort, m254, t50, w8, 9308, 21, 30014, 39844, 118.1654, 0.9603, 1900, 56, a3, 100111
insertSort, m36, t50, w4, 773, 51, 4092, 4908, 113.6759, 0.9444, 1900, 40, a4, 111010
squareMatrix, m60, t50, w8, 1530, 20, 3482, 5047, 57.4011, 1.0, 903, 72, a3, 110010
primes, m22, t100, w8, 373, 38, 288, 704, 12.7059, 0.8793, 398, 30, a3, 101111
minProd, m90, t50, w2, 3295, 162, 7917, 11569, 87.4862, 0.8659, 1946, 72, a2, 001111
huffmanCoding, m157, t50, w4, 8898, 161, 17156, 26223, 109.2771, 0.9013, 1874, 318, a3, 000010
maxArrSumNeg, m224, t50, w8, 5172, 19, 20242, 25794, 90.3661, 0.9358, 1910, 63, a3, 101111
quickSort, m42, t50, w8, 1551, 21, 5002, 6640, 118.1654, 0.9603, 1900, 56, a3, 100111
bubbleSort, m226, t50, w4, 4958, 147, 153722, 159440, 680.1858, 0.9182, 1900, 41, a2, 011111
longestIncrease, m57, t50, w2, 2555, 10486, 63837, 71910, 1119.9474, 0.9196, 1946, 70, a2, 010111
parg, m836, t52, w4, 141833, 55, 856, 142909, 1.0239, 1.0, 418, 2518, a3, 110010
anagram, m30, t100, w4, 502, 100, 2501, 3126, 83.3667, 0.9286, 1370, 37, a2, 100111
genPassword, m98, t100, w4, 1940, 103, 3728, 6006, 38.0408, 0.8367, 398, 63, a4, 101011
bubbleSort, m226, t50, w2, 7276, 161, 426360, 435146, 1886.5487, 0.9182, 1900, 41, a2, 011111
primes, m22, t100, w4, 383, 102, 837, 1298, 36.9265, 0.8793, 398, 30, a2, 100111
massive, m16, t60, w2, 45, 108138, 50, 36158, 3.0612, 1.0, 169, 13, a4, 000000
genPassword, m16, t100, w4, 323, 103, 621, 1001, 38.0408, 0.8367, 398, 63, a4, 101011
genPassword, m16, t100, w8, 316, 39, 297, 649, 18.2041, 0.8367, 398, 63, a4, 111011
parg, m836, t52, w2, 142664, 176, 2888, 145804, 3.454, 1.0, 418, 2518, a5, 110011
anagram, m120, t100, w2, 3140, 324, 15854, 19754, 132.1167, 0.8667, 1370, 37, a5, 111011
genPassword, m98, t100, w2, 2934, 316, 10588, 14286, 108.0408, 0.8367, 398, 63, a5, 011010
squareMatrix, m91, t50, w8, 2296, 20, 5223, 7570, 57.4011, 1.0, 903, 72, a3, 110010
primes, m34, t100, w2, 892, 312, 3399, 4672, 99.9706, 0.8793, 398, 30, a4, 010110
factorial, m10, t100, w8, 166, 38, 1693, 1890, 163.8387, 0.9677, 403, 18, a2, 101010
squareMatrix, m91, t50, w4, 2301, 47, 11336, 13865, 124.5714, 1.0, 903, 72, a5, 111111
huffmanCodingEff, m66, t50, w4, 3289, 146, 4579, 8129, 69.0352, 0.849, 1874, 239, a2, 010111
primes, m136, t100, w4, 2302, 102, 5022, 7788, 36.9265, 0.8793, 398, 30, a2, 100111
massive, m16, t60, w4, 627, 38521, 18990, 32475, 1162.6735, 1.0, 169, 13, a5, 110000
transpose, m298, t50, w4, 7516, 52, 41798, 49586, 140.2617, 0.8993, 903, 40, a2, 100011
add, m24, t100, w2, 556, 316, 770, 2074, 32.0833, 0.9167, 583, 13, a3, 100011
maxArrSumNeg, m56, t50, w4, 1364, 145, 10247, 11789, 182.9911, 0.9358, 1910, 63, a2, 010111
huffmanCoding, m628, t50, w8, 37226, 21, 30706, 69026, 48.8949, 0.9279, 1874, 318, a2, 110111
longestIncrease, m57, t50, w8, 1631, 2228, 12197, 15079, 213.9825, 0.9196, 1946, 70, a2, 100111
quickSort, m63, t50, w4, 2254, 48, 13943, 16392, 219.5827, 0.9603, 1900, 56, a2, 111111
insertSort, m54, t50, w8, 1181, 23, 3131, 4358, 57.9907, 0.9444, 1900, 40, a3, 111011
dictionaryOrder, m142, t100, w2, 3874, 322, 67006, 72158, 471.8732, 0.9265, 8248, 32, a3, 110111
massive, m98, t60, w4, 3766, 38521, 113942, 194850, 1162.6735, 1.0, 169, 13, a5, 110000
huffmanCodingEff, m398, t50, w8, 20606, 137, 12032, 33872, 30.2312, 0.849, 1874, 239, a3, 010111
mergeSort, m452, t50, w4, 13184, 148, 45676, 59338, 101.0531, 0.9336, 1900, 129, a2, 000010
parg, m1254, t52, w8, 216073, 20, 413, 216794, 0.3296, 1.0, 418, 2518, a3, 101010
bubbleSort, m56, t50, w8, 1243, 22, 29964, 31288, 530.3363, 0.9182, 1900, 41, a4, 110111
mergeSort, m452, t50, w8, 13734, 21, 21114, 35086, 46.7124, 0.9336, 1900, 129, a2, 110010
factorial, m62, t100, w8, 998, 38, 10158, 11344, 163.8387, 0.9677, 403, 18, a2, 101010
genPassword, m98, t100, w8, 1898, 39, 1784, 3898, 18.2041, 0.8367, 398, 63, a4, 111011
minProd, m60, t50, w2, 2197, 162, 5278, 7712, 87.4862, 0.8659, 1946, 72, a2, 001111
parg, m836, t52, w8, 144048, 20, 275, 144529, 0.3296, 1.0, 418, 2518, a3, 101010
quickSort, m42, t50, w2, 2268, 165, 25704, 28195, 607.1969, 0.9603, 1900, 56, a3, 000111
add, m24, t100, w8, 310, 40, 122, 632, 5.0833, 0.9167, 583, 13, a4, 101010
mergeSort, m452, t50, w2, 20218, 165, 135932, 156674, 300.7345, 0.9336, 1900, 129, a4, 110011
dictionaryOrder, m35, t100, w2, 968, 322, 16751, 18039, 471.8732, 0.9265, 8248, 32, a3, 110111
anagram, m20, t100, w2, 523, 324, 2642, 3292, 132.1167, 0.8667, 1370, 37, a5, 111011
anagram, m30, t100, w2, 785, 324, 3963, 4938, 132.1167, 0.8667, 1370, 37, a5, 111011
longestIncrease, m228, t50, w8, 6526, 2228, 48788, 60318, 213.9825, 0.9196, 1946, 70, a2, 100111
add, m4, t100, w8, 51, 40, 20, 105, 5.0833, 0.9167, 583, 13, a4, 101010
maxArrSumNeg, m37, t50, w2, 2565, 158, 15313, 18162, 410.1875, 0.9358, 1910, 63, a4, 010100
massive, m98, t60, w8, 3470, 19252, 93724, 135794, 956.3673, 1.0, 169, 13, a5, 110001
dictionaryOrder, m35, t100, w4, 579, 101, 5810, 6643, 163.6761, 0.9265, 8248, 32, a3, 111111
insertSort, m36, t50, w2, 1215, 161, 8193, 9573, 227.6019, 0.92, 1900, 40, a5, 101111
massive, m24, t60, w8, 867, 19252, 23431, 33948, 956.3673, 1.0, 169, 13, a5, 110001
transpose, m49, t50, w2, 1939, 160, 20738, 22758, 417.5436, 0.8993, 903, 40, a3, 001010
squareMatrix, m364, t50, w4, 9204, 47, 45344, 55460, 124.5714, 1.0, 903, 72, a5, 111111
huffmanCoding, m157, t50, w2, 13321, 164, 36240, 50207, 230.8312, 0.9013, 1874, 318, a5, 001111
huffmanCodingEff, m66, t50, w8, 3434, 137, 2005, 5645, 30.2312, 0.849, 1874, 239, a3, 010111
selectSort, m184, t50, w4, 4092, 46, 30016, 34518, 163.1304, 0.9101, 1900, 45, a2, 110111
transpose, m74, t50, w2, 2909, 160, 31107, 34138, 417.5436, 0.8993, 903, 40, a3, 001010
quickSort, m254, t50, w4, 9016, 48, 55774, 65570, 219.5827, 0.9603, 1900, 56, a2, 111111
factorial, m15, t100, w4, 256, 99, 3520, 3852, 227.129, 0.9677, 403, 18, a3, 111010
longestIncrease, m57, t50, w4, 1588, 3440, 24429, 27784, 428.5789, 0.9035, 1946, 70, a2, 110010
genPassword, m24, t100, w4, 485, 103, 932, 1501, 38.0408, 0.8367, 398, 63, a4, 101011
anagram, m20, t100, w4, 335, 100, 1667, 2084, 83.3667, 0.9286, 1370, 37, a2, 100111
bubbleSort, m37, t50, w2, 1212, 161, 71060, 72524, 1886.5487, 0.9182, 1900, 41, a2, 011111
mergeSort, m75, t50, w8, 2289, 21, 3519, 5847, 46.7124, 0.9336, 1900, 129, a2, 110010
factorial, m10, t100, w4, 171, 99, 2347, 2568, 227.129, 0.9677, 403, 18, a3, 111010
dictionaryOrder, m142, t100, w4, 2316, 101, 23242, 26574, 163.6761, 0.9265, 8248, 32, a3, 111111
add, m4, t100, w4, 56, 97, 36, 143, 9.0833, 0.9167, 583, 13, a4, 101011
primes, m34, t100, w8, 559, 38, 432, 1057, 12.7059, 0.8793, 398, 30, a3, 101111
transpose, m298, t50, w2, 11636, 160, 124428, 136552, 417.5436, 0.8993, 903, 40, a3, 001010
longestIncrease, m38, t50, w8, 1087, 2228, 8131, 10053, 213.9825, 0.9196, 1946, 70, a2, 100111
quickSort, m63, t50, w8, 2327, 21, 7503, 9961, 118.1654, 0.9603, 1900, 56, a3, 100111
quickSort, m254, t50, w2, 13610, 165, 154228, 169174, 607.1969, 0.9603, 1900, 56, a3, 000111
add, m6, t100, w2, 139, 316, 192, 518, 32.0833, 0.9167, 583, 13, a3, 100011
huffmanCodingEff, m99, t50, w4, 4934, 146, 6869, 12193, 69.0352, 0.849, 1874, 239, a2, 010111
transpose, m74, t50, w4, 1879, 52, 10449, 12396, 140.2617, 0.8993, 903, 40, a2, 100011
bubbleSort, m226, t50, w8, 4974, 22, 119856, 125152, 530.3363, 0.9182, 1900, 41, a4, 110111
minProd, m362, t50, w8, 9040, 24, 10062, 19486, 27.7956, 0.8659, 1946, 72, a2, 110111
anagram, m30, t100, w8, 498, 45, 2501, 3073, 83.3833, 0.9286, 1370, 37, a2, 101111
primes, m136, t100, w2, 3570, 312, 13596, 18688, 99.9706, 0.8793, 398, 30, a4, 010110
selectSort, m46, t50, w4, 1023, 46, 7504, 8629, 163.1304, 0.9101, 1900, 45, a2, 110111
massive, m16, t60, w8, 578, 19252, 15620, 22632, 956.3673, 1.0, 169, 13, a5, 110001
longestIncrease, m228, t50, w2, 10222, 10486, 255348, 287640, 1119.9474, 0.9196, 1946, 70, a2, 010111
huffmanCoding, m104, t50, w4, 5932, 161, 11437, 17482, 109.2771, 0.9013, 1874, 318, a3, 000010
selectSort, m30, t50, w4, 682, 46, 5002, 5753, 163.1304, 0.9101, 1900, 45, a2, 110111
transpose, m298, t50, w8, 7634, 20, 20240, 28890, 67.9195, 0.9054, 903, 40, a3, 100111
squareMatrix, m60, t50, w4, 1534, 47, 7557, 9243, 124.5714, 1.0, 903, 72, a5, 111111
mergeSort, m75, t50, w2, 3369, 165, 22655, 26112, 300.7345, 0.9336, 1900, 129, a4, 110011
maxArrSumNeg, m56, t50, w2, 3847, 158, 22970, 27243, 410.1875, 0.9358, 1910, 63, a4, 010100
minProd, m60, t50, w4, 1456, 157, 1784, 3318, 29.5801, 0.7845, 1946, 72, a5, 000010
factorial, m10, t100, w2, 256, 311, 6498, 6880, 628.8387, 0.9677, 403, 18, a4, 010011
mergeSort, m113, t50, w2, 5054, 165, 33983, 39168, 300.7345, 0.9336, 1900, 129, a4, 110011
huffmanCoding, m104, t50, w8, 6204, 21, 5117, 11504, 48.8949, 0.9279, 1874, 318, a2, 110111
minProd, m90, t50, w4, 2184, 157, 2677, 4977, 29.5801, 0.7845, 1946, 72, a5, 000010
transpose, m49, t50, w8, 1272, 20, 3373, 4815, 67.9195, 0.9054, 903, 40, a3, 100111
bubbleSort, m37, t50, w4, 826, 147, 25620, 26573, 680.1858, 0.9182, 1900, 41, a2, 011111
huffmanCodingEff, m99, t50, w8, 5151, 137, 3008, 8468, 30.2312, 0.849, 1874, 239, a3, 010111
dictionaryOrder, m142, t100, w8, 2372, 40, 10004, 13062, 70.4507, 0.9265, 8248, 32, a3, 100111
dictionaryOrder, m23, t100, w2, 645, 322, 11167, 12026, 471.8732, 0.9265, 8248, 32, a3, 110111
parg, m5018, t52, w8, 864292, 20, 1654, 867178, 0.3296, 1.0, 418, 2518, a3, 101010
longestIncrease, m38, t50, w4, 1059, 3440, 16286, 18522, 428.5789, 0.9035, 1946, 70, a2, 110010
minProd, m362, t50, w4, 8736, 157, 10708, 19910, 29.5801, 0.7845, 1946, 72, a5, 000010
insertSort, m36, t50, w8, 787, 23, 2087, 2905, 57.9907, 0.9444, 1900, 40, a3, 111011
add, m6, t100, w8, 77, 40, 30, 158, 5.0833, 0.9167, 583, 13, a4, 101010
selectSort, m46, t50, w8, 1030, 23, 2912, 4021, 63.3043, 0.9101, 1900, 45, a2, 101111
huffmanCoding, m628, t50, w2, 53284, 164, 144962, 200830, 230.8312, 0.9013, 1874, 318, a5, 001111
massive, m24, t60, w4, 941, 38521, 28485, 48712, 1162.6735, 1.0, 169, 13, a5, 110000
primes, m22, t100, w2, 595, 312, 2266, 3114, 99.9706, 0.8793, 398, 30, a4, 010110
huffmanCodingEff, m398, t50, w2, 29438, 166, 81024, 112238, 203.5779, 0.849, 1874, 239, a3, 011111
insertSort, m216, t50, w8, 4724, 23, 12526, 17432, 57.9907, 0.9444, 1900, 40, a3, 111011
factorial, m15, t100, w8, 249, 38, 2539, 2836, 163.8387, 0.9677, 403, 18, a2, 101010
insertSort, m54, t50, w4, 1160, 51, 6138, 7362, 113.6759, 0.9444, 1900, 40, a4, 111010
transpose, m74, t50, w8, 1908, 20, 5060, 7222, 67.9195, 0.9054, 903, 40, a3, 100111
factorial, m15, t100, w2, 385, 311, 9747, 10321, 628.8387, 0.9677, 403, 18, a4, 010011
bubbleSort, m37, t50, w8, 829, 22, 19976, 20858, 530.3363, 0.9182, 1900, 41, a4, 110111
factorial, m62, t100, w2, 1540, 311, 38988, 41284, 628.8387, 0.9677, 403, 18, a4, 010011
selectSort, m184, t50, w2, 6082, 164, 79956, 87058, 434.5435, 0.9101, 1900, 45, a2, 100111
selectSort, m30, t50, w8, 687, 23, 1941, 2681, 63.3043, 0.9101, 1900, 45, a2, 101111
selectSort, m184, t50, w8, 4122, 23, 11648, 16086, 63.3043, 0.9101, 1900, 45, a2, 101111
huffmanCodingEff, m66, t50, w2, 4906, 166, 13504, 18706, 203.5779, 0.849, 1874, 239, a3, 011111
longestIncrease, m228, t50, w4, 6354, 3440, 97716, 111136, 428.5789, 0.9035, 1946, 70, a2, 110010
maxArrSumNeg, m37, t50, w4, 909, 145, 6831, 7859, 182.9911, 0.9358, 1910, 63, a2, 010111
parg, m5018, t52, w4, 851002, 55, 5138, 857458, 1.0239, 1.0, 418, 2518, a3, 110010
huffmanCoding, m104, t50, w2, 8880, 164, 24160, 33471, 230.8312, 0.9013, 1874, 318, a5, 001111
insertSort, m216, t50, w2, 7294, 161, 49162, 57438, 227.6019, 0.92, 1900, 40, a5, 101111
maxArrSumNeg, m224, t50, w2, 15390, 158, 91882, 108972, 410.1875, 0.9358, 1910, 63, a4, 010100
huffmanCoding, m628, t50, w4, 35592, 161, 68626, 104894, 109.2771, 0.9013, 1874, 318, a3, 000010
dictionaryOrder, m23, t100, w8, 395, 40, 1667, 2177, 70.4507, 0.9265, 8248, 32, a3, 100111
parg, m1254, t52, w2, 213996, 176, 4333, 218707, 3.454, 1.0, 418, 2518, a5, 110011
minProd, m362, t50, w8, 9040, 24, 10062, 19486, 27.7956, 0.8659, 1946, 72, a2, 110111
anagram, m30, t100, w8, 498, 45, 2501, 3073, 83.3833, 0.9286, 1370, 37, a2, 101111
primes, m136, t100, w2, 3570, 312, 13596, 18688, 99.9706, 0.8793, 398, 30, a4, 010110
