insertSort, m36, t50, w8, 787, 23, 2087, 2905, 57.9907, 0.9444, 1900, 40, a3, 111011
factorial, m15, t100, w8, 249, 40, 2622, 2925, 169.1935, 0.9677, 403, 18, a5, 111011
factorial, m15, t100, w2, 783, 317, 9762, 10836, 629.8387, 0.9677, 403, 18, a3, 011100
insertSort, m36, t50, w4, 779, 150, 4073, 4926, 113.1389, 0.9444, 1900, 40, a5, 011010
parg, m5018, t52, w2, 878220, 175, 17428, 910068, 3.4731, 1.0, 418, 2518, a3, 000111
factorial, m10, t100, w2, 261, 327, 6531, 6922, 632.0968, 0.9677, 403, 18, a4, 101010
factorial, m10, t100, w2, 531, 326, 6517, 7178, 630.7097, 0.9677, 403, 18, a3, 100001
bubbleSort, m56, t50, w4, 3610, 50, 38481, 42502, 681.0796, 0.9182, 1900, 41, a2, 100100
longestIncrease, m57, t50, w4, 4969, 3466, 24825, 31573, 435.5263, 0.9035, 1946, 70, a5, 101000
minProd, m90, t50, w4, 2407, 146, 2640, 5161, 29.1713, 0.7845, 1946, 72, a2, 001010
transpose, m298, t50, w2, 11662, 163, 124500, 136652, 417.7852, 0.8993, 903, 40, a3, 100010
genPassword, m16, t100, w2, 489, 313, 1863, 2553, 114.0612, 0.8367, 398, 63, a4, 100111
dictionaryOrder, m23, t100, w2, 1210, 321, 11189, 12676, 472.7887, 0.9265, 8248, 32, a3, 110100
mergeSort, m113, t50, w4, 3429, 50, 11448, 15089, 101.3097, 0.9336, 1900, 129, a3, 100111
mergeSort, m113, t50, w8, 3516, 21, 5296, 8872, 46.8717, 0.9336, 1900, 129, a2, 101010
anagram, m30, t100, w2, 811, 319, 4044, 5044, 134.8167, 0.8667, 1370, 37, a3, 101010
bubbleSort, m37, t50, w4, 2462, 149, 25800, 28575, 684.9646, 0.9182, 1900, 41, a2, 010100
transpose, m74, t50, w2, 5934, 160, 31003, 37062, 416.1477, 0.8993, 903, 40, a5, 000000
longestIncrease, m38, t50, w2, 1644, 9452, 43296, 48279, 1139.3684, 0.9196, 1946, 70, a3, 001111
factorial, m62, t100, w8, 2968, 41, 10170, 13344, 164.0323, 0.9677, 403, 18, a3, 101000
mergeSort, m452, t50, w2, 20230, 159, 137098, 159032, 303.3142, 0.9336, 1900, 129, a2, 010111
factorial, m10, t100, w2, 258, 314, 6553, 7005, 634.1935, 0.9677, 403, 18, a2, 001110
parg, m1254, t52, w2, 219213, 173, 5675, 233238, 4.5241, 1.0, 418, 2518, a5, 010110
dictionaryOrder, m142, t100, w4, 2360, 99, 23258, 26854, 163.7887, 0.9265, 8248, 32, a2, 100110
transpose, m298, t50, w4, 7678, 147, 41818, 49944, 140.3289, 0.8993, 903, 40, a2, 000011
maxArrSumNeg, m224, t50, w8, 5302, 142, 20250, 27024, 90.4018, 0.9358, 1910, 63, a2, 001110
insertSort, m216, t50, w8, 4730, 22, 12594, 17508, 58.3056, 0.9444, 1900, 40, a2, 101011
parg, m1254, t52, w2, 257638, 172, 4268, 262286, 3.4022, 1.0, 418, 2518, a5, 001001
genPassword, m98, t100, w4, 1968, 305, 4072, 6948, 41.551, 0.8367, 398, 63, a2, 010111
quickSort, m42, t50, w8, 1574, 21, 5001, 6673, 118.1496, 0.9603, 1900, 56, a2, 111111
selectSort, m30, t50, w2, 1023, 162, 13358, 14540, 435.5978, 0.9101, 1900, 45, a3, 100111
longestIncrease, m38, t50, w4, 1028, 10515, 16080, 20644, 423.1579, 0.9035, 1946, 70, a5, 000010
mergeSort, m452, t50, w2, 40176, 161, 136292, 176982, 301.531, 0.9336, 1900, 129, a5, 101000
mergeSort, m452, t50, w4, 14300, 150, 46150, 60934, 102.1018, 0.9336, 1900, 129, a3, 001011
factorial, m10, t100, w4, 175, 292, 2346, 2638, 227.0323, 0.9677, 403, 18, a3, 010011
dictionaryOrder, m35, t100, w4, 569, 101, 5840, 6705, 164.507, 0.9265, 8248, 32, a3, 110110
selectSort, m184, t50, w2, 6082, 164, 79956, 87058, 434.5435, 0.9101, 1900, 45, a2, 100111
transpose, m74, t50, w2, 5875, 156, 30998, 36993, 416.0872, 0.8993, 903, 40, a4, 000000
mergeSort, m75, t50, w4, 2302, 147, 7655, 10039, 101.6239, 0.9336, 1900, 129, a5, 000011
quickSort, m63, t50, w8, 2366, 20, 7503, 9988, 118.1654, 0.9603, 1900, 56, a3, 111111
quickSort, m63, t50, w2, 6632, 158, 40902, 47858, 644.1339, 0.9603, 1900, 56, a4, 110101
factorial, m62, t100, w4, 1044, 296, 14106, 15874, 227.5161, 0.9677, 403, 18, a3, 011010
squareMatrix, m364, t50, w4, 9280, 47, 46384, 55922, 127.4286, 1.0, 903, 72, a3, 110011
add, m6, t100, w4, 86, 99, 56, 254, 9.3333, 0.9167, 583, 13, a4, 111110
longestIncrease, m228, t50, w4, 6382, 3436, 97900, 111356, 429.386, 0.9035, 1946, 70, a5, 100010
factorial, m10, t100, w4, 535, 98, 2344, 3001, 226.9032, 0.9677, 403, 18, a2, 101100
insertSort, m54, t50, w4, 1196, 149, 6226, 7536, 115.3056, 0.9444, 1900, 40, a4, 001010
anagram, m120, t100, w2, 3136, 314, 16272, 20156, 135.6, 0.8667, 1370, 37, a3, 000010
factorial, m10, t100, w4, 178, 102, 2346, 2578, 227.0645, 0.9677, 403, 18, a2, 101011
dictionaryOrder, m23, t100, w2, 645, 322, 11167, 12026, 471.8732, 0.9265, 8248, 32, a3, 110111
transpose, m298, t50, w2, 11694, 158, 124660, 136848, 418.3221, 0.8993, 903, 40, a2, 101011
longestIncrease, m228, t50, w4, 7200, 4325, 95756, 111808, 419.9825, 0.9035, 1946, 70, a3, 101010
dictionaryOrder, m23, t100, w2, 1196, 324, 11205, 12683, 473.4507, 0.9265, 8248, 32, a3, 111100
maxArrSumNeg, m37, t50, w8, 889, 21, 3412, 4481, 91.3929, 0.9358, 1910, 63, a3, 101110
mergeSort, m452, t50, w2, 20516, 158, 136190, 157202, 301.3053, 0.9336, 1900, 129, a3, 100011
anagram, m30, t100, w4, 528, 98, 2501, 3301, 83.3833, 0.9286, 1370, 37, a2, 111110
bubbleSort, m56, t50, w4, 1260, 51, 38650, 40336, 684.0796, 0.9182, 1900, 41, a2, 110110
parg, m5018, t52, w2, 858766, 173, 17610, 877864, 3.5094, 1.0, 418, 2518, a3, 111011
maxArrSumNeg, m56, t50, w8, 1333, 21, 5118, 6722, 91.3929, 0.9358, 1910, 63, a3, 101110
minProd, m90, t50, w8, 2242, 20, 2516, 5190, 27.8066, 0.8659, 1946, 72, a2, 101110
insertSort, m216, t50, w8, 4810, 152, 12576, 18646, 58.2222, 0.9444, 1900, 40, a3, 010110
factorial, m10, t100, w4, 517, 295, 2344, 2981, 226.871, 0.9677, 403, 18, a3, 010001
insertSort, m216, t50, w8, 4828, 154, 12744, 18022, 59, 0.9444, 1900, 40, a2, 000010
factorial, m15, t100, w4, 782, 297, 3518, 4477, 226.9677, 0.9677, 403, 18, a2, 010001
longestIncrease, m228, t50, w4, 6460, 10234, 99696, 126812, 437.2632, 0.9035, 1946, 70, a2, 001011
squareMatrix, m364, t50, w4, 9240, 144, 46290, 55982, 127.1703, 1.0, 903, 72, a2, 000011
factorial, m10, t100, w4, 173, 295, 2357, 2648, 228.129, 0.9677, 403, 18, a2, 001011
squareMatrix, m60, t50, w4, 1565, 145, 7783, 9424, 128.3022, 1.0, 903, 72, a5, 001011
squareMatrix, m91, t50, w2, 3542, 162, 27879, 32058, 306.3681, 1.0, 903, 72, a5, 010110
mergeSort, m75, t50, w4, 2306, 152, 7608, 9996, 101, 0.9336, 1900, 129, a3, 001010
longestIncrease, m228, t50, w4, 6362, 3474, 97722, 111222, 428.6053, 0.9035, 1946, 70, a5, 101011
parg, m836, t52, w4, 141797, 154, 876, 142930, 1.0474, 1.0, 418, 2518, a5, 001011
huffmanCoding, m628, t50, w8, 37804, 149, 30604, 71624, 48.7325, 0.9279, 1874, 318, a2, 000110
factorial, m10, t100, w2, 249, 320, 6536, 6912, 632.5484, 0.9677, 403, 18, a4, 111010
parg, m5018, t52, w2, 873182, 173, 17018, 922842, 3.3914, 1.0, 418, 2518, a4, 010110
add, m6, t100, w2, 134, 326, 178, 539, 29.6667, 0.9167, 583, 13, a2, 000110
factorial, m62, t100, w4, 3162, 102, 14062, 17550, 226.8065, 0.9677, 403, 18, a2, 111001
primes, m22, t100, w4, 388, 303, 830, 1464, 36.6176, 0.8793, 398, 30, a2, 010110
mergeSort, m113, t50, w8, 3464, 140, 5268, 9250, 46.6195, 0.9336, 1900, 129, a3, 010110
huffmanCoding, m157, t50, w2, 13276, 163, 43663, 57737, 278.1083, 0.9013, 1874, 318, a5, 110111
massive, m16, t60, w8, 209, 19158, 17189, 23867, 1052.4286, 1.0, 169, 13, a5, 110110
parg, m836, t52, w4, 143884, 167, 840, 145980, 1.0044, 1.0, 418, 2518, a2, 001111
factorial, m62, t100, w2, 3162, 313, 38990, 42900, 628.871, 0.9677, 403, 18, a5, 001000
parg, m5018, t52, w4, 857116, 160, 5226, 869878, 1.0415, 1.0, 418, 2518, a2, 010111
maxArrSumNeg, m37, t50, w8, 902, 137, 3381, 4499, 90.5625, 0.9358, 1910, 63, a3, 011110
genPassword, m98, t100, w8, 1982, 44, 1926, 4588, 19.6531, 0.8367, 398, 63, a3, 110110
transpose, m49, t50, w2, 1949, 158, 20776, 22808, 418.3221, 0.8993, 903, 40, a2, 101011
quickSort, m254, t50, w8, 9252, 22, 30012, 40710, 118.1575, 0.9603, 1900, 56, a2, 100110
minProd, m362, t50, w2, 13116, 163, 31706, 47272, 87.5856, 0.8659, 1946, 72, a2, 001110
bubbleSort, m37, t50, w4, 2443, 154, 25653, 28222, 681.0619, 0.9182, 1900, 41, a3, 011101
insertSort, m36, t50, w4, 791, 150, 4125, 5178, 114.6019, 0.9444, 1900, 40, a2, 011110
huffmanCoding, m157, t50, w4, 8975, 162, 17117, 26265, 109.0287, 0.9013, 1874, 318, a2, 000010
anagram, m120, t100, w2, 6468, 322, 16284, 23514, 135.7, 0.8667, 1370, 37, a5, 101001
bubbleSort, m37, t50, w4, 2407, 51, 25662, 28157, 681.3097, 0.9182, 1900, 41, a3, 100101
dictionaryOrder, m35, t100, w4, 575, 100, 5811, 6678, 163.6901, 0.9265, 8248, 32, a2, 101110
quickSort, m254, t50, w2, 13650, 163, 154126, 169764, 606.7953, 0.9603, 1900, 56, a3, 001110
primes, m22, t100, w4, 385, 297, 838, 1474, 36.9706, 0.8793, 398, 30, a2, 011110
bubbleSort, m37, t50, w2, 2487, 164, 72353, 75158, 1920.8761, 0.9182, 1900, 41, a4, 100100
dictionaryOrder, m142, t100, w2, 7256, 319, 67230, 76144, 473.4507, 0.9265, 8248, 32, a2, 101100
parg, m5018, t52, w2, 873748, 178, 17392, 923990, 3.4659, 1.0, 418, 2518, a2, 011110
insertSort, m216, t50, w8, 4776, 150, 12610, 18740, 58.3796, 0.9444, 1900, 40, a3, 011110
transpose, m74, t50, w2, 5977, 160, 31040, 37140, 416.651, 0.8993, 903, 40, a5, 011001
transpose, m298, t50, w2, 23976, 156, 124052, 148508, 416.2819, 0.8993, 903, 40, a5, 000001
factorial, m15, t100, w4, 263, 99, 3522, 3866, 227.2581, 0.9677, 403, 18, a3, 110010
factorial, m10, t100, w2, 534, 313, 6502, 7160, 629.2258, 0.9677, 403, 18, a2, 100000
anagram, m30, t100, w4, 513, 99, 2501, 3141, 83.3667, 0.9286, 1370, 37, a2, 101111
squareMatrix, m364, t50, w4, 9834, 150, 46632, 56938, 128.1099, 1.0, 903, 72, a2, 001010
huffmanCoding, m104, t50, w4, 6016, 161, 11443, 17571, 109.328, 0.9013, 1874, 318, a5, 000011
transpose, m49, t50, w8, 1253, 154, 3375, 4938, 67.953, 0.9054, 903, 40, a3, 011110
squareMatrix, m91, t50, w8, 2344, 22, 5170, 7937, 56.8187, 1.0, 903, 72, a2, 110110
longestIncrease, m228, t50, w2, 19950, 9789, 267318, 307682, 1172.4474, 0.9196, 1946, 70, a4, 100101
transpose, m298, t50, w2, 23786, 158, 124004, 148276, 416.1208, 0.8993, 903, 40, a2, 110001
huffmanCodingEff, m398, t50, w2, 30052, 170, 81718, 114652, 205.3216, 0.849, 1874, 239, a2, 001110
genPassword, m24, t100, w2, 732, 316, 2747, 3815, 112.1429, 0.8367, 398, 63, a3, 101110
mergeSort, m452, t50, w2, 20514, 162, 136996, 159270, 303.0885, 0.9336, 1900, 129, a4, 000111
add, m24, t100, w4, 340, 94, 228, 868, 9.5, 0.9167, 583, 13, a4, 101010
longestIncrease, m38, t50, w2, 3280, 9805, 44514, 51195, 1171.4298, 0.9196, 1946, 70, a2, 101101
mergeSort, m452, t50, w2, 20544, 164, 136224, 157282, 301.3805, 0.9336, 1900, 129, a2, 100011
insertSort, m36, t50, w4, 778, 51, 4127, 4947, 114.6574, 0.9444, 1900, 40, a3, 110010
insertSort, m36, t50, w8, 794, 21, 2124, 2972, 59, 0.9444, 1900, 40, a3, 110111
quickSort, m42, t50, w2, 4477, 164, 27328, 32032, 645.5512, 0.9603, 1900, 56, a3, 111101
genPassword, m24, t100, w8, 487, 293, 472, 1137, 19.2653, 0.8367, 398, 63, a2, 001010
huffmanCoding, m157, t50, w4, 9003, 156, 17139, 26306, 109.1656, 0.9013, 1874, 318, a3, 010010
factorial, m62, t100, w2, 1558, 315, 39118, 41428, 630.9355, 0.9677, 403, 18, a5, 000010
parg, m836, t52, w4, 143031, 157, 907, 145180, 1.0849, 1.0, 418, 2518, a4, 001111
parg, m1254, t52, w4, 214302, 54, 1291, 217418, 1.0291, 1.0, 418, 2518, a3, 100111
genPassword, m16, t100, w4, 323, 290, 666, 1138, 40.7755, 0.8367, 398, 63, a3, 010111
huffmanCodingEff, m66, t50, w2, 4932, 162, 13482, 18707, 203.2462, 0.849, 1874, 239, a2, 010111
bubbleSort, m226, t50, w4, 14658, 154, 153920, 169332, 681.0619, 0.9182, 1900, 41, a3, 011101
add, m4, t100, w4, 56, 98, 37, 147, 9.25, 0.9167, 583, 13, a4, 111011
insertSort, m54, t50, w4, 1180, 53, 6162, 7406, 114.1111, 0.9444, 1900, 40, a2, 111010
dictionaryOrder, m35, t100, w8, 582, 39, 2501, 3302, 70.4507, 0.9265, 8248, 32, a2, 110110
mergeSort, m452, t50, w2, 20600, 163, 136088, 159728, 301.0796, 0.9336, 1900, 129, a4, 111110
bubbleSort, m37, t50, w4, 816, 51, 25673, 26582, 681.5929, 0.9182, 1900, 41, a3, 111111
transpose, m74, t50, w8, 1919, 141, 5058, 7395, 67.8993, 0.9054, 903, 40, a2, 011110
transpose, m74, t50, w8, 1903, 147, 5058, 7392, 67.8993, 0.9054, 903, 40, a2, 001110
genPassword, m24, t100, w8, 480, 294, 500, 1159, 20.4286, 0.8367, 398, 63, a2, 000011
longestIncrease, m57, t50, w4, 1600, 3478, 24556, 27938, 430.8158, 0.9035, 1946, 70, a2, 101010
mergeSort, m75, t50, w2, 3390, 161, 22754, 26229, 302.0487, 0.9336, 1900, 129, a5, 000011
squareMatrix, m364, t50, w4, 9184, 152, 46330, 56640, 127.2802, 1.0, 903, 72, a2, 000111
longestIncrease, m57, t50, w8, 1602, 2303, 12390, 15337, 217.3684, 0.9196, 1946, 70, a3, 111111
longestIncrease, m57, t50, w2, 2540, 10564, 63785, 71974, 1119.0439, 0.9196, 1946, 70, a2, 110110
factorial, m10, t100, w4, 170, 96, 2345, 2634, 226.9355, 0.9677, 403, 18, a3, 101110
factorial, m15, t100, w4, 804, 296, 3516, 4499, 226.871, 0.9677, 403, 18, a3, 011001
mergeSort, m113, t50, w2, 10064, 163, 34081, 44272, 301.6018, 0.9336, 1900, 129, a4, 101000
genPassword, m16, t100, w8, 323, 40, 320, 680, 19.6122, 0.8367, 398, 63, a5, 101011
huffmanCodingEff, m99, t50, w2, 7730, 153, 20634, 29047, 207.3769, 0.849, 1874, 239, a3, 110110
mergeSort, m113, t50, w2, 5340, 164, 34234, 39700, 302.9558, 0.9336, 1900, 129, a5, 001011
anagram, m120, t100, w8, 2092, 286, 10004, 12866, 83.3667, 0.9286, 1370, 37, a3, 000111
selectSort, m46, t50, w2, 1535, 162, 20037, 21811, 435.5978, 0.9101, 1900, 45, a3, 100111
mergeSort, m113, t50, w2, 5037, 159, 34081, 39242, 301.6062, 0.9336, 1900, 129, a4, 000010
squareMatrix, m91, t50, w4, 2361, 48, 11547, 14470, 126.8956, 1.0, 903, 72, a3, 100110
bubbleSort, m37, t50, w2, 2440, 161, 71136, 73814, 1888.5664, 0.9182, 1900, 41, a3, 011101
